=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.11 11:40:30 =~=~=~=~=~=~=~=~=~=~=~=
41966,1268577395,99832.90,27.49,1.707,1.865,-0.468
41968,1268637396,99831.59,27.49,1.735,1.976,0.295
41970,1268697395,99839.41,27.49,1.688,1.315,0.416
41972,1268757395,99834.46,27.50,1.669,1.733,-0.450
41974,1268817395,99834.52,27.50,1.667,1.728,-0.537
41976,1268877394,99837.11,27.50,1.654,1.509,0.025
41978,1268937396,99837.61,27.50,1.646,1.467,-0.022
41980,1268997400,99834.96,27.50,1.682,1.691,-0.003
41982,1269057395,99832.55,27.51,1.722,1.895,0.348
41984,1269117395,99837.43,27.51,1.716,1.482,0.574
41986,1269177394,99834.46,27.51,1.722,1.733,0.119
41988,1269237396,99833.20,27.51,1.762,1.839,0.067
41990,1269297394,99832.95,27.51,1.794,1.861,0.548
41992,1269357395,99833.74,27.51,1.730,1.794,0.056
41994,1269417395,99832.14,27.51,1.764,1.929,-0.517
41996,1269477394,99833.68,27.51,1.753,1.799,0.237
41998,1269537396,99834.91,27.51,1.782,1.695,0.238
42000,1269597400,99835.49,27.51,1.784,1.646,0.420
42002,1269657395,99835.97,27.51,1.750,1.606,-0.093
42004,1269717395,99833.20,27.51,1.740,1.839,-0.557
42006,1269777394,99831.91,27.51,1.757,1.949,-0.266
42008,1269837396,99834.84,27.51,1.726,1.701,0.085
42010,1269897394,99836.59,27.51,1.684,1.553,-0.316
42012,1269957395,99836.45,27.52,1.629,1.565,-0.740
42014,1270017394,99836.50,27.51,1.640,1.561,-0.591
42016,1270077394,99834.75,27.52,1.675,1.709,0.181
42018,1270137396,99835.73,27.51,1.682,1.626,0.396
42020,1270197400,99835.61,27.52,1.708,1.636,0.316
42022,1270257395,99835.42,27.52,1.718,1.652,0.339
42024,1270317395,99833.84,27.51,1.718,1.786,0.043
42026,1270377394,99837.42,27.51,1.679,1.483,-0.109
42028,1270437396,99834.63,27.51,1.722,1.719,-0.135
4
