=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 17:36:38 =~=~=~=~=~=~=~=~=~=~=~=
3354,105641395,49844.25,27.51,-1.027,-0.031
3356,105701396,49845.32,27.51,-1.047,0.664
3358,105761394,49845.10,27.51,-1.035,0.014
3360,105821395,49844.95,27.51,-1.041,0.037
3362,105881395,49843.02,27.51,-0.941,0.305
3364,105941394,49845.49,27.51,-0.984,0.903
3366,106001396,49843.62,27.51,-0.955,-0.128
3368,106061394,49845.58,27.50,-0.997,0.035
3370,106121394,49844.66,27.50,-0.977,-0.214
3372,106181395,49844.89,27.50,-0.982,0.076
3374,106241395,49843.55,27.50,-0.983,-0.156
3376,106301396,49843.21,27.50,-0.928,0.122
3378,106361395,49844.45,27.50,-0.951,0.570
3380,106421395,49846.20,27.50,-1.000,-0.162
3382,106481395,49844.41,27.49,-0.984,-0.473
3384,106541395,49845.67,27.49,-1.002,-0.037
3386,106601396,49845.73,27.49,-1.015,-0.123
3388,106661395,49843.26,27.49,-0.977,-0.197
3390,106721395,49844.16,27.48,-0.950,0.399
3392,106781395,49845.08,27.48,-0.927,0.666
3394,106841395,49845.34,27.48,-0.967,0.177
3396,106901396,49844.12,27.47,-0.973,-0.555
3398,106961395,49845.09,27.47,-0.985,-0.206
3400,107021395,49844.90,27.47,-0.993,-0.097
3402,107081395,49844.12,27.47,-0.972,-0.084
3404,107141394,49844.79,27.47,-0.981,0.161
3406,107201396,49846.52,27.46,-1.025,-0.080
3408,107261395,49843.78,27.46,-1.028,-0.628
3410,107321395,49846.85,27.46,-1.045,-0.138
3412,107381395,49845.59,27.46,-1.052,-0.034
3414,107441395,49845.14,27.46,-1.041,-0.217
3416,107501396,49846.09,27.46,-1.040,0.171
3418,107561394,49844.12,27.46,-1.042,-0.092
3420,107621395,49844.28,27.46,-1.031,-0.152
3422,107681395,49843.02,27.46,-1.007,0.142
3424,107741395,49845.32,27.46,-0.986,0.504
3426,107801396,49845.58,27.46,-0.993,0.494
3428,107861395,49844.36,27.46,-1.003,-0.214
3430,107921403,49846.50,27.46,-1.012,-0.079
3432,107981395,49845.36,27.46,-1.031,-0.113
3434,108041395,49844.47,27.46,-0.991,-0.200
3436,108101396,49844.74,27.46,-0.995,0.336
3438,108161395,49843.46,27.46,-0.977,-0.008
3440,108221395,49844.82,27.46,-0.998,0.078
3442,108281395,49844.52,27.47,-1.000,-0.114
3444,108341394,49845.21,27.46,-1.022,-0.126
3446,108401396,49845.93,27.46,-1.098,-0.535
3448,108461394,49844.73,27.46,-1.062,-0.704
3450,108521395,49844.51,27.47,-1.039,0.303
3452,108581395,49845.63,27.47,-1.046,0.340
3454,108641395,49846.07,27.46,-1.076,-0.063
3456,108701396,49847.43,27.47,-1.110,-0.342
3458,108761395,49845.48,27.46,-1.115,-0.499
3460,108821395,49845.04,27.47,-1.063,-0.037
3462,108881395,49846.12,27.47,-1.064,0.632
3464,108941394,49844.89,27.47,-1.070,-0.007
3466,109001396,49845.22,27.47,-1.070,-0.168
3468,109061394,49845.71,27.47,-1.081,0.018
3470,109121395,49844.88,27.47,-1.089,-0.200
3472,109181395,49844.63,27.47,-1.080,-0.166
3474,109241395,49845.86,27.47,-1.075,0.221
3476,109301396,49844.67,27.47,-1.078,0.052
3478,109361394,49844.76,27.47,-1.046,0.041
3480,109421395,49845.02,27.47,-1.072,0.235
3482,109481395,49845.14,27.47,-1.056,-0.124
3484,109541395,49847.45,27.46,-1.106,0.121
3486,109601396,49845.42,27.46,-1.100,-0.470
3488,109661394,49846.79,27.46,-1.121,-0.184
3490,109721394,49846.88,27.46,-1.117,-0.048
3492,109781395,49843.49,27.46,-1.068,-0.044
3494,109841395,49845.09,27.46,-1.062,0.393
3496,109901396,49846.08,27.46,-1.051,0.461
3498,109961395,49844.75,27.46,-1.055,0.064
3500,110021395,49845.56,27.46,-1.085,-0.255
3502,110081395,49843.83,27.45,-1.015,-0.030
3504,110141395,49844.91,27.45,-0.987,0.835
3506,110201396,49845.73,27.45,-1.018,0.409
3508,110261394,49846.11,27.45,-1.040,-0.317
3510,110321395,49843.76,27.45,-1.017,-0.357
3512,110381395,49846.76,27.45,-1.058,0.063
3514,110441395,49844.53,27.45,-1.066,-0.389
3516,110501396,49845.66,27.45,-1.020,0.020
3518,110561395,49845.52,27.44,-1.041,0.479
3520,110621395,49845.34,27.44,-1.058,-0.315
3522,110681395,49846.30,27.44,-1.085,-0.287
3524,110741395,49845.30,27.44,-1.088,-0.337
3526,110801396,49845.16,27.44,-1.061,-0.025
3528,110861395,49845.78,27.44,-1.068,0.308
3530,110921403,49847.33,27.44,-1.134,-0.210
3532,110981395,49844.75,27.45,-1.104,-0.673
3534,111041395,49845.93,27.45,-1.111,0.076
3536,111101396,49845.59,27.45,-1.095,0.141
3538,111161394,49844.75,27.45,-1.099,0.015
3540,111221395,49846.07,27.45,-1.118,-0.091
3542,111281395,49845.32,27.45,-1.131,-0.228
3544,111341395,49847.47,27.45,-1.147,-0.101
3546,111401396,49844.22,27.45,-1.122,-0.156
3548,111461394,49844.91,27.45,-1.120,-0.009
3550,111521394,49845.78,27.45,-1.096,0.350
3552,111581395,49845.63,27.45,-1.053,0.598
3554,111641394,49845.99,27.45,-1.087,0.334
3556,111701396,49845.40,27.45,-1.116,-0.525
3558,111761395,49844.41,27.45,-1.065,-0.233
3560,111821395,49844.99,27.45,-1.022,0.738
3562,111881395,49845.84,27.45,-1.072,0.396
3564,111941394,49846.22,27.45,-1.104,-0.567
3566,112001396,49846.80,27.45,-1.110,-0.338
3568,112061395,49846.33,27.45,-1.129,-0.196
3570,112121394,49845.91,27.45,-1.122,-0.277
3572,112181395,49846.04,27.45,-1.123,0.017
3574,112241395,49846.64,27.45,-1.114,0.127
3576,112301396,49844.06,27.45,-1.100,-0.031
3578,112361394,49844.06,27.44,-1.074,0.043
3580,112421395,49844.55,27.45,-1.042,0.544
3582,112481395,49844.43,27.45,-1.030,0.488
3584,112541395,49846.45,27.44,-1.072,0.131
