=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.10 18:05:49 =~=~=~=~=~=~=~=~=~=~=~=
seq,timestamp_us,pressure_pa,temperature_c,altitude_m,raw_altitude_m,climb_rate_mps
1111,42564396,99714.56,27.85,-0.831,-0.931,-0.019
1113,42624416,99715.17,27.85,-0.833,-0.982,-0.045
1115,42684408,99713.23,27.85,-0.830,-0.819,-0.086
1117,42744450,99713.81,27.85,-0.817,-0.868,0.034
1119,42804397,99713.03,27.85,-0.788,-0.802,0.305
1121,42864396,99712.14,27.85,-0.766,-0.726,0.375
1123,42924416,99713.62,27.85,-0.785,-0.851,0.193
1125,42984397,99714.18,27.85,-0.821,-0.899,-0.291
1127,43044422,99713.09,27.85,-0.797,-0.806,-0.306
1129,43104397,99711.71,27.85,-0.783,-0.690,0.182
1131,43164396,99712.31,27.85,-0.764,-0.741,0.248
1133,43224416,99715.04,27.84,-0.782,-0.971,0.298
1135,43284397,99715.36,27.85,-0.803,-0.999,-0.138
1137,43344449,99713.62,27.85,-0.798,-0.852,-0.298
1139,43404397,99710.49,27.84,-0.789,-0.587,-0.171
1141,43464408,99711.77,27.85,-0.767,-0.696,0.132
1143,43524416,99714.73,27.85,-0.799,-0.945,0.295
1145,43584397,99710.27,27.84,-0.757,-0.568,-0.164
1147,43644432,99712.58,27.85,-0.762,-0.763,0.285
1149,43704397,99711.49,27.85,-0.745,-0.671,0.150
1151,43764397,99715.39,27.85,-0.796,-1.001,0.039
1153,43824416,99710.13,27.85,-0.764,-0.557,-0.430
1155,43884397,99713.68,27.85,-0.776,-0.856,0.140
1157,43944450,99713.58,27.85,-0.763,-0.848,0.157
1159,44004397,99709.68,27.85,-0.753,-0.518,-0.027
1161,44064396,99711.61,27.85,-0.745,-0.682,0.068
1163,44124416,99718.74,27.85,-0.842,-1.285,0.020
1165,44184397,99713.36,27.85,-0.857,-0.830,-1.060
1167,44244431,99711.40,27.85,-0.827,-0.664,-0.484
1169,44304397,99710.03,27.85,-0.772,-0.548,0.461
1171,44364396,99709.84,27.85,-0.758,-0.532,0.634
1173,44424416,99715.27,27.85,-0.792,-0.991,0.296
