=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.08.22 13:29:59 =~=~=~=~=~=~=~=~=~=~=~=
5187,1409,53166305,8.125,-0.562,49.751,49.750,0.416,0.211,-3.103,100056.85,36.51,-94.665,-96.142,-19.4059,0.7100,-0.6300,9.7800,-0.1250,-0.1250,-0.0625,-19.0625,11.8750,105.5625,-0.0200,0.0100,0.0300,0.7000,-0.6300,9.7600,1,1
5199,1412,53266305,8.188,-0.625,49.725,49.688,0.410,-0.464,0.223,100064.85,36.52,-94.686,-96.162,-19.4557,0.7400,-0.5500,9.8200,0.5000,-0.8125,-0.2500,-19.0625,11.8750,105.1875,0.0300,0.0500,0.0200,0.7100,-0.6200,9.7600,1,1
5212,1416,53376114,8.188,-0.625,49.697,49.688,0.650,0.828,1.843,100049.53,36.54,-94.685,-96.179,-19.4314,0.7200,-0.5800,9.8000,0.0625,0.0000,0.0000,-17.8750,11.8750,105.1875,0.0000,0.0100,0.0300,0.7100,-0.6200,9.7600,1,1
5226,1420,53496311,8.188,-0.625,49.690,49.688,0.617,-0.226,0.684,100062.03,36.52,-94.677,-96.194,-19.3821,0.7300,-0.5800,9.7500,0.0000,0.0000,-0.0625,-18.2500,12.5625,104.3750,-0.0100,0.0300,0.0400,0.7100,-0.6200,9.7600,1,1
5241,1424,53616486,8.188,-0.625,49.688,49.688,0.573,0.594,-0.447,100052.31,36.53,-94.741,-96.224,-19.4230,0.7200,-0.5700,9.7900,-0.0625,0.0000,0.0625,-17.8750,12.1875,104.7500,-0.0100,0.0400,0.0600,0.7100,-0.6200,9.7600,1,1
5255,1428,53736281,8.188,-0.625,49.688,49.688,0.498,-0.243,0.652,100062.23,36.52,-94.752,-96.243,-19.4214,0.7100,-0.5800,9.7900,0.0000,0.1875,0.0000,-17.8750,11.8750,105.6875,0.0000,0.0200,0.0400,0.7100,-0.6200,9.7600,1,1
5270,1432,53858292,8.188,-0.625,49.688,49.688,0.900,1.373,2.918,100043.07,36.53,-94.727,-96.256,-19.4300,0.7200,-0.5900,9.8000,0.0000,0.0000,0.0625,-18.2500,11.8750,104.3750,0.0000,0.0300,0.0400,0.7100,-0.6200,9.7600,1,1
5284,1436,53976293,8.188,-0.625,49.688,49.688,0.486,-0.566,-2.389,100066.06,36.53,-94.773,-96.281,-19.4513,0.7300,-0.5800,9.8200,0.0000,0.0000,0.0000,-18.2500,11.8750,105.1875,0.0000,0.0300,0.0300,0.7100,-0.6200,9.7600,1,1
5298,1440,54096400,8.188,-0.625,49.688,49.688,0.288,-0.085,-1.699,100060.36,36.54,-94.874,-96.315,-19.4385,0.7200,-0.6000,9.8100,0.0625,0.0625,-0.1875,-18.6875,12.1875,104.3750,0.0000,0.0200,0.0500,0.7100,-0.6200,9.7600,1,1
5313,1444,54216835,8.188,-0.625,49.688,49.688,0.356,-0.188,1.000,100061.58,36.54,-94.904,-96.336,-19.4000,0.6900,-0.5900,9.7700,0.0000,0.0000,-0.1250,-18.2500,11.8750,104.0625,0.0100,0.0100,0.0100,0.7100,-0.6200,9.7600,1,1
5327,1448,54336494,8.188,-0.625,49.688,49.688,0.266,0.303,-1.808,100055.76,36.52,-94.994,-96.368,-19.4185,0.7000,-0.6000,9.7900,0.0625,-0.1875,-0.1250,-18.2500,11.8750,105.2500,-0.0100,0.0400,0.0100,0.7100,-0.6200,9.7600,1,1
